id,age,gender,ideology,pid,degree,industry,worried,happening,need_policy,c_fedgov,c_corps,c_farmers,c_public,1_loop1,2_loop1,3_loop1,4_loop1,5_loop1,6_loop1,7_loop1,8_loop1,10_loop1,11_loop1,12_loop1,13_loop1,14_loop1,15_loop1,16_loop1,17_loop1,18_loop1,19_loop1,20_loop1,21_loop1,22_loop1,23_loop1,24_loop1,25_loop1,26_loop1,27_loop1,28_loop1,29_loop1,30_loop1,31_loop1,32_loop1,33_loop1,34_loop1,1_loop2,2_loop2,3_loop2,4_loop2,5_loop2,6_loop2,7_loop2,8_loop2,9_loop2,10_loop2,11_loop2,12_loop2,13_loop2,14_loop2,15_loop2,16_loop2,17_loop2,18_loop2,19_loop2,20_loop2,21_loop2,22_loop2,23_loop2,24_loop2,25_loop2,26_loop2,27_loop2,28_loop2,29_loop2,30_loop2,31_loop2,32_loop2,33_loop2,1_loop3,2_loop3,3_loop3,4_loop3,5_loop3,6_loop3,7_loop3,8_loop3,9_loop3,10_loop3,11_loop3,12_loop3,13_loop3,14_loop3,15_loop3,16_loop3,17_loop3,18_loop3,19_loop3,20_loop3,21_loop3,22_loop3,23_loop3,24_loop3,25_loop3,26_loop3,27_loop3,28_loop3,29_loop3,30_loop3,31_loop3,32_loop3,33_loop3,four_just_1,four_just_2,four_just_3,four_just_4,comments_overall,pid3,ideo3,lib,con,ideo7,age_groups,degree2,bach_more,ind,worried_cat,need_cat,age_cat,pid_cat,bach_cat,gender_cat,ideo_cat,conf_cat,loop,sm_np,sm_sup,sm_score
300,NA,Other/missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ind/Other,NA,NA,NA,NA,Missing,HS or less/NA,0,Missing,NA,NA,NA,NA,Less than bach,NA,NA,NA,NA,NA,NA,NA
301,26,Female,Liberal,Democrat,Advanced degree,"Public administration, defence, education, human health and social work activities",1,2,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat important,Very important,Very important,Very important,"I think the ones pertaining to farming were a little difficult just because I have no knowledge of how farming works, what is needed, farmers' livelihoods, etc.
",Democrat,Liberal,1,0,-2,25-34,Advanced,0,Public admin,Worried,Need policy,Younger,Democrat,Less than bach,Female,Liberal,Doubt,3,0.09090909090909097,0.5454545454545454,0.1818181818181819
302,39,Male,Leaning liberal,Strong Democrat,Bachelor's degree,"Professional, scientific, technical, administration and support service activities",2,2,2,3,1,2,2,Strongly favor,Strongly oppose,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Don't know enough to say,Don't know enough to say,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly oppose,Strongly favor,Somewhat oppose,Strongly oppose,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat important,Extremely important,Very important,Extremely important,NA,Democrat,Moderate,0,0,-1,35-44,Bachelor,1,Professional,Worried,Need policy,Younger,Democrat,Bach or more,Male,NA,Confidence,1,0.24242424242424246,0.6428571428571429,0.484848484848485
303,68,Male,Liberal,Strong Democrat,Bachelor's degree,"Public administration, defence, education, human health and social work activities",2,2,-2,1,1,2,1,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,none,Democrat,Liberal,1,0,-2,65 and up,Bachelor,1,Public admin,Worried,No need,Older,Democrat,Bach or more,Male,Liberal,Doubt,1,1,1,1.5151515151515151
304,NA,Female,Conservative,Independent,"Associate degree, junior college, or technical program",NA,0,0,0,0,1,1,1,Strongly favor,Don't know enough to say,Strongly oppose,Don't know enough to say,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Strongly oppose,Don't know enough to say,Strongly oppose,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly oppose,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly favor,Don't know enough to say,Somewhat oppose,Strongly oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Very important,Somewhat important,Very important,Not a signal word of expression.,Ind/Other,Conservative,0,1,2,Missing,Assoc/tech,0,Missing,Not worried,No need,NA,NA,Less than bach,Female,Conservative,Doubt,1,-0.09090909090909095,0.4482758620689655,-0.2424242424242425
305,47,Female,Liberal,Democrat,Advanced degree,"Professional, scientific, technical, administration and support service activities",1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat favor,Strongly oppose,Extremely important,Very important,Very important,Very important,NA,Democrat,Liberal,1,0,-2,45-54,Advanced,0,Professional,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Confidence,3,0.3333333333333334,0.6666666666666666,0.36363636363636365
306,53,Female,Extremely conservative,Strong Republican,High school,I am a currently a student,-2,1,-1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Not very important,Not very important,"The numbers do not add up for the ""climate change"" and the human factor aspect of it. The electric everything is too much for an outdated grid system to handle. There is so much more to this, but I will leave it at that. besides, banning the production of real food is the most wrong suggestion ever. Food is medicine, and the pharma companies are the only ones that benefit from that.",Republican,Conservative,0,1,3,45-54,HS or less/NA,0,Student,Not worried,No need,Older,Republican,Less than bach,Female,Conservative,Confidence,2,-0.5151515151515151,0.24242424242424243,-1.0606060606060606
307,51,Female,Liberal,Democrat,High school,"Manufacturing, mining and quarrying and other industry",2,2,2,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat important,Extremely important,Very important,Very important,No.  No.,Democrat,Liberal,1,0,-2,45-54,HS or less/NA,0,Manufacturing,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Doubt,3,0.5151515151515151,0.7575757575757576,0.8181818181818181
308,51,Male,Leaning conservative,"Independent, leans Republican",Bachelor's degree,Information and communication,-1,1,0,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly oppose,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly favor,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat important,Very important,Very important,Not very important,NA,Ind/Other,Moderate,0,0,1,45-54,Bachelor,1,Info/comms,Not worried,No need,Older,NA,Bach or more,Male,NA,Doubt,2,-0.27272727272727276,0.3548387096774193,-0.3030303030303031
309,38,Male,Leaning liberal,Democrat,Advanced degree,Other services,-1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly favor,Don't know enough to say,Don't know enough to say,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Don't know enough to say,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat important,Very important,Very important,Very important,NA,Democrat,Moderate,0,0,-1,35-44,Advanced,0,Other services,Not worried,No need,Younger,Democrat,Less than bach,Male,NA,Doubt,2,-0.4545454545454544,0.22222222222222215,-0.5454545454545456
310,64,Female,Leaning liberal,"Independent, leans Democrat","Associate degree, junior college, or technical program","Public administration, defence, education, human health and social work activities",2,2,2,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Extremely important,"No questions were hard to understand.

Subsidies to increase vegetarian foods to replace meat and dairy.",Ind/Other,Moderate,0,0,-1,55-64,Assoc/tech,0,Public admin,Worried,Need policy,Older,NA,Less than bach,Female,NA,Doubt,2,0.6363636363636365,0.8387096774193549,1.121212121212121
311,58,Female,Extremely conservative,Republican,"Associate degree, junior college, or technical program",Other services,0,-1,0,1,NA,2,2,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Don't know enough to say,Somewhat oppose,Don't know enough to say,Somewhat favor,Somewhat oppose,Somewhat oppose,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat oppose,Don't know enough to say,Don't know enough to say,Somewhat oppose,Don't know enough to say,Somewhat oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Don't know enough to say,Somewhat oppose,Somewhat oppose,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Don't know,Don't know,Don't know,no,Republican,Conservative,0,1,3,55-64,Assoc/tech,0,Other services,Not worried,No need,Older,Republican,Less than bach,Female,Conservative,Doubt,1,-0.39393939393939387,0.15789473684210525,-0.39393939393939387
312,79,Female,"Moderate, middle of the road",Democrat,High school,Other services,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Don't know enough to say,Strongly favor,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly oppose,Extremely important,Extremely important,Extremely important,Extremely important,No,Democrat,Moderate,0,0,0,65 and up,HS or less/NA,0,Other services,Worried,Need policy,Older,Democrat,Less than bach,Female,NA,Doubt,3,0.3636363636363636,0.7142857142857143,0.5454545454545454
313,56,Female,Conservative,"Independent, leans Republican",High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",1,2,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat oppose,Somewhat oppose,Strongly favor,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly oppose,Somewhat oppose,Don't know enough to say,Strongly oppose,Extremely important,Extremely important,Extremely important,Extremely important,"I wasn't sure on one of your questions about increasing taxes on natural gas.Didn't know if you meant increased taxes on the company or the consumers.I do not agree with increasing taxes on us the people, maybe yes on the companys as long as they can't pass that along to us the customers.",Ind/Other,Conservative,0,1,2,55-64,HS or less/NA,0,Retail/logistics,Worried,Need policy,Older,NA,Less than bach,Female,Conservative,Doubt,3,0.1515151515151515,0.5862068965517241,0.06060606060606066
314,63,Female,"Moderate, middle of the road",Democrat,Bachelor's degree,"Professional, scientific, technical, administration and support service activities",2,2,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly oppose,Somewhat oppose,Strongly oppose,Don't know enough to say,Somewhat favor,Strongly oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat oppose,Strongly favor,Somewhat favor,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,"Only one…I have never heard of DUST being blown into the atmosphere.  I will have to google if that was a test question or for real !!   
Thank you! Interesting study.",Democrat,Moderate,0,0,0,55-64,Bachelor,1,Professional,Worried,Need policy,Older,Democrat,Bach or more,Female,NA,Doubt,2,0.4242424242424243,0.7333333333333333,0.6363636363636362
315,67,Female,Liberal,Strong Democrat,Advanced degree,"Professional, scientific, technical, administration and support service activities",2,2,2,1,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Somewhat important,Extremely important,Extremely important,Quite understandable. No further comments.,Democrat,Liberal,1,0,-2,65 and up,Advanced,0,Professional,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Doubt,2,0.9393939393939394,0.9696969696969697,1.7272727272727273
316,73,Female,Extremely liberal,Strong Democrat,Bachelor's degree,"Public administration, defence, education, human health and social work activities",2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat oppose,Don't know enough to say,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Don't know enough to say,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,no,Democrat,Liberal,1,0,-3,65 and up,Bachelor,1,Public admin,Worried,Need policy,Older,Democrat,Bach or more,Female,Liberal,Doubt,2,0.6060606060606062,0.8846153846153846,1.1818181818181819
317,35,Male,Liberal,Democrat,Advanced degree,"Professional, scientific, technical, administration and support service activities",2,2,2,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Somewhat favor,Somewhat oppose,Strongly favor,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Somewhat important,Very important,Extremely important,NA,Democrat,Liberal,1,0,-2,35-44,Advanced,0,Professional,Worried,Need policy,Younger,Democrat,Less than bach,Male,Liberal,Doubt,2,0.2727272727272728,0.6363636363636365,0.5757575757575758
318,40,Male,"Moderate, middle of the road",Independent,"Associate degree, junior college, or technical program","Agriculture, forestry and fishing",1,1,1,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat important,Very important,Very important,Very important,If climate change is to be taken seriously the global community needs to hold nations such as China and India responsible for their actions in causing more pollution.,Ind/Other,Moderate,0,0,0,35-44,Assoc/tech,0,Agriculture,Worried,Need policy,Younger,NA,Less than bach,Male,NA,Confidence,3,0.33333333333333337,0.6666666666666666,0.33333333333333337
319,23,Female,Extremely liberal,Independent,Bachelor's degree,"Public administration, defence, education, human health and social work activities",1,2,2,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly favor,Don't know enough to say,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Somewhat important,Very important,Very important,NA,Ind/Other,Liberal,1,0,-3,18-24,Bachelor,1,Public admin,Worried,Need policy,Younger,NA,Bach or more,Female,Liberal,Doubt,2,0.6060606060606062,0.8333333333333333,0.9696969696969697
