item,policy,type
2_loop2,Increase taxes on the sale of inefficient home appliances.,tax
25_loop2,"Impose a tax on oil, gas, and coal heating systems.",tax
29_loop3,Increase taxes on second homes.,tax
12_loop1,Fund research into renewable energy sources.,funding
9_loop3,Fund the construction of new nuclear power plants.,funding
11_loop1,Set strict CO2 limits on power plants that use oil and coal,limit
10_loop2,Set strict CO2 limits on power plants that use natural gas,limit
10_loop1,Require electricity companies to use more nuclear power.,require
11_loop3,Require electricity companies to use more solar energy.,require
12_loop3,Require electricity companies to use more wind farms.,require
14_loop1,Subsidize electricity generation from solar energy.,subsidy
34_loop1,Subsidize electricity generation from off-shore wind farms.,subsidy
11_loop2,Subsidize electricity generation from nuclear power.,subsidy
13_loop2,Remove subsidies for oil and coal production.,subsidy
14_loop2,Subsidize electricity generation from wind farms.,subsidy
13_loop3,Provide subsidies for fossil fuel companies to produce clean alternative energy.,subsidy
13_loop1,Remove subsidies for natural gas production.,tax
15_loop1,Tax the production of oil and coal,tax
12_loop2,Increase taxes for power plants using coal and oil.,tax
21_loop2,Increase taxes on aviation fuel.,tax
10_loop3,Increase taxes for natural gas power plants.,tax
14_loop3,Tax the production of natural gas.,tax
22_loop1,Fund research into new ways to block solar radiation,geoengineering
22_loop2,Fund research into new ways to capture carbon,geoengineering
23_loop1,"Inject sea salt into the air above the oceans to increase the reflectivity of clouds, leading to cooling effects.",geoengineering
24_loop1,Plant trees to absorb carbon emissions in the atmosphere.,geoengineering
23_loop2,"Intentionally add dust to the atmosphere, to reflect sunlight back into space to cool the planet.",geoengineering
24_loop2,Use chemical processes to capture carbon from the air.,geoengineering
22_loop3,Fertilize the oceans to make algae grow and accelerate carbon capture from the atmosphere.,geoengineering
23_loop3,Place objects in space to block solar radiation entering the atmosphere.,geoengineering
5_loop2,Require companies reduce their carbon emissions.,limit
4_loop3,Require businesses to capture and store their carbon emissions.,require
6_loop3,Require businesses to provide more information about their products' climate impact.,require
5_loop1,Give businesses subsidies for capturing and storing their carbon emissions.,subsidy
7_loop1,Give businesses subsidies for informing consumers about their products' climate impacts.,subsidy
5_loop3,Give businesses subsidies for reducing their carbon emissions.,subsidy
6_loop1,Require businesses to pay a tax on their carbon emissions.,tax
7_loop2,Allow electric vehicles with only one occupant in high-occupancy vehicle lanes.,require
8_loop1,Increase the number of high-occupancy vehicle lanes for vehicles with 3+ people.,require
7_loop3,Ban non-essential traffic of personal cars in city centers.,limit
30_loop3,Ban sales of new gasoline-powered vehicles.,limit
26_loop1,Increase the number of public trains.,funding
28_loop1,Make all public transit free.,funding
27_loop2,Increase the area covered by public transportation.,funding
8_loop3,Fund the installation of more electric vehicle charging stations.,funding
27_loop3,Increase the number of public buses.,funding
32_loop3,Increase the number of parking spaces for electric vehicles.,funding
33_loop1,Reduce the number of parking spaces for gasoline-powered vehicles.,limit
32_loop1,Require that taxi drivers use electric vehicles.,require
28_loop2,Require that all public buses be electric.,require
31_loop3,Increase fuel efficiency requirements for cars and trucks.,require
31_loop1,Subsidize electric vehicle purchases.,subsidy
9_loop2,"Subsidize purchases of electric bicycles, mopeds, and scooters.",subsidy
26_loop2,Subsidize travel by train.,subsidy
32_loop2,Subsidize taxi drivers who use electric vehicles.,subsidy
33_loop2,Subsidize parking for electric vehicles.,subsidy
28_loop3,Subsidize travel by all public transportation.,subsidy
33_loop3,Increase the cost of parking for gasoline-powered vehicles.,tax
29_loop1,Increase taxes on air travel.,tax
8_loop2,Increase charges for driving downtown in high-traffic periods.,tax
29_loop2,Increase taxes on private jet travel.,tax
30_loop2,Increase taxes on yachts and large boats.,tax
31_loop2,Increase taxes on gasoline-powered vehicles.,tax
21_loop3,Increase taxes on gasoline and diesel.,tax
